id,dateadded,url,url_status,threat,tags,urlhaus_link,reporter
"2107188","2022-03-20 11:18:04","http://112.248.189.176:41440/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2107188/","geenensp"
"2107183","2022-03-20 11:08:05","http://27.222.252.80:32878/bin.sh","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2107183/","geenensp"
"2107169","2022-03-20 10:59:04","http://79.107.145.210:23534/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2107169/","geenensp"
"2107165","2022-03-20 10:53:05","http://171.235.67.216:50252/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2107165/","geenensp"
"2107149","2022-03-20 10:46:06","http://112.248.189.176:41440/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2107149/","geenensp"
"2107141","2022-03-20 10:35:05","http://27.202.44.206:58287/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2107141/","lrz_urlhaus"
"2107138","2022-03-20 10:26:07","http://42.202.100.239:54030/bin.sh","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2107138/","geenensp"
"2107120","2022-03-20 10:07:05","http://112.255.116.33:35734/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2107120/","geenensp"
"2107106","2022-03-20 09:52:05","http://78.38.40.85:35687/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2107106/","geenensp"
"2107089","2022-03-20 09:39:05","http://112.255.116.33:35734/bin.sh","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2107089/","geenensp"
"2107076","2022-03-20 09:27:06","http://121.61.108.235:54035/bin.sh","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2107076/","geenensp"
"2107068","2022-03-20 09:19:05","http://111.172.38.211:51409/Mozi.m","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2107068/","lrz_urlhaus"
"2107055","2022-03-20 09:03:06","http://80.174.147.74:11892/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2107055/","geenensp"
"2106946","2022-03-20 07:15:06","http://111.172.38.211:25189/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2106946/","geenensp"
"2106937","2022-03-20 07:05:05","http://124.130.26.180:33393/Mozi.m","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2106937/","lrz_urlhaus"
"2106924","2022-03-20 06:44:05","http://103.126.253.21:29374/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2106924/","geenensp"
"2106912","2022-03-20 06:26:10","http://42.202.100.239:54030/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2106912/","geenensp"
"2106892","2022-03-20 06:08:04","http://172.245.186.129/snype.sh","online","malware_download","None","https://urlhaus.abuse.ch/url/2106892/","Meowcat285"
"2106891","2022-03-20 06:08:03","http://192.3.251.253/c.sh","online","malware_download","None","https://urlhaus.abuse.ch/url/2106891/","Meowcat285"
"2106853","2022-03-20 05:50:05","http://27.187.251.18:39325/Mozi.m","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2106853/","lrz_urlhaus"
"2106842","2022-03-20 05:48:06","https://ruay-vvip.net/b-xv/?redacted","online","malware_download","Flubot","https://urlhaus.abuse.ch/url/2106842/","switchcert"
"2106817","2022-03-20 05:39:05","http://70.18.45.147:11227/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2106817/","geenensp"
"2106804","2022-03-20 05:34:04","http://123.235.240.60:60301/Mozi.a","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2106804/","lrz_urlhaus"
"2106793","2022-03-20 05:20:07","http://186.150.14.162:47434/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2106793/","lrz_urlhaus"
"2106785","2022-03-20 05:18:04","http://107.142.171.93:40097/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2106785/","geenensp"
"2106771","2022-03-20 04:52:10","http://112.245.179.203:43797/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2106771/","geenensp"
"2106760","2022-03-20 04:49:04","http://5.43.32.144:8857/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2106760/","geenensp"
"2106742","2022-03-20 04:34:05","http://118.79.62.230:44186/Mozi.m","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2106742/","lrz_urlhaus"
"2106739","2022-03-20 04:29:04","http://119.179.237.135:32889/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2106739/","geenensp"
"2106721","2022-03-20 04:06:08","http://78.186.1.235:39445/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2106721/","lrz_urlhaus"
"2106710","2022-03-20 03:56:04","http://119.179.237.135:32889/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2106710/","geenensp"
"2106694","2022-03-20 03:35:04","http://120.6.53.78:40051/Mozi.m","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2106694/","lrz_urlhaus"
"2106685","2022-03-20 03:25:05","http://117.132.4.248:51264/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2106685/","geenensp"
"2106684","2022-03-20 03:24:06","http://61.65.172.121:57251/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2106684/","geenensp"
"2106614","2022-03-20 02:36:05","http://115.72.118.193:20462/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2106614/","geenensp"
"2106609","2022-03-20 02:34:07","http://61.65.172.121:57251/bin.sh","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2106609/","geenensp"
"2106568","2022-03-20 02:02:07","http://109.237.96.10/garm7","online","malware_download","elf,mirai","https://urlhaus.abuse.ch/url/2106568/","tolisec"
"2106564","2022-03-20 01:56:05","http://109.64.246.159:27666/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2106564/","geenensp"
"2106560","2022-03-20 01:50:06","http://222.138.202.240:51418/Mozi.a","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2106560/","lrz_urlhaus"
"2106537","2022-03-20 01:21:04","http://81.163.10.23:40386/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2106537/","lrz_urlhaus"
"2106526","2022-03-20 01:15:20","http://23.126.223.221:24770/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2106526/","geenensp"
"2106524","2022-03-20 00:50:06","http://118.45.70.32:19055/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2106524/","geenensp"
"2106523","2022-03-20 00:26:04","http://119.12.251.32:18454/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2106523/","geenensp"
"2106482","2022-03-19 22:49:05","http://123.131.215.240:36729/Mozi.a","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2106482/","lrz_urlhaus"
"2106459","2022-03-19 22:22:09","http://170.150.58.132:45686/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2106459/","geenensp"
"2106451","2022-03-19 22:08:03","http://212.192.246.30/bins/arm5?ddos","online","malware_download","ddos,elf,mirai","https://urlhaus.abuse.ch/url/2106451/","Gandylyan1"
"2106439","2022-03-19 22:04:05","http://112.234.234.108:51142/Mozi.a","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2106439/","lrz_urlhaus"
"2106421","2022-03-19 21:41:08","http://183.223.222.122:14321/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2106421/","geenensp"
"2106392","2022-03-19 21:20:06","http://114.228.130.80:46470/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2106392/","lrz_urlhaus"
"2106384","2022-03-19 21:15:16","http://183.223.222.122:14321/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2106384/","geenensp"
"2106381","2022-03-19 21:13:05","http://95.68.245.69:54735/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2106381/","geenensp"
